Date Reported As Of,PID,Project Name,Description,Category,Borough,Managing Agency,Client Agency,Current Phase,Design Start,Budget Forecast,,Latest Budget Changes,,Total Budget Changes,Forecast Completion,Latest Schedule Changes,Total Schedule Changes,
08/01/15 00:00,101,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Bridges,Queens,DOT,,Construction,03/10/03,201932563.8,,59835224,,-9229702,05/07/19,-1345,929,
01/01/16 00:00,101,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Bridges,Queens,DOT,,Construction,03/10/03,107601528.8,,-94331035,,-9229702,05/07/19,0,929,
06/01/16 00:00,101,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Bridges,Queens,DOT,,Construction,03/10/03,108380157.2,,778628,,-9229702,05/07/19,0,929,
11/01/16 00:00,101,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Bridges,Queens,DOT,,Construction,03/10/03,106791910.2,,-1588247,,-9229702,05/27/2019,20,929,
04/01/17 00:00,101,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Bridges,Queens,DOT,,Construction,03/10/03,106740014.2,,-51896,,-9229702,05/07/19,-20,929,
09/01/17 00:00,101,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Bridges,Queens,DOT,,Construction,03/10/03,105436907,,-1303107,,-9229702,05/27/2019,20,929,
03/01/18 00:00,101,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Bridges,Queens,DOT,,Construction,03/10/03,104792618,,-644289,,-9229702,05/27/2019,0,929,
08/01/18 00:00,101,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Bridges,Queens,DOT,,Construction,03/10/03,106569120,,1776502,,-9229702,12/17/2018,-161,929,
01/01/19 00:00,101,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Bridges,Queens,DOT,,Construction,03/10/03,108591109,,2021989,,-9229702,08/28/2020,620,929,
05/01/19 00:00,101,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,Bridges,Queens,DOT,,Construction,03/10/03,114154298,,5563189,,-9229702,08/28/2020,0,929,
09/01/19 00:00,101,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,,Bridges,Queens,DOT,,,,,,,,-9229702,,,929,
09/01/13 00:00,106,Broadway Bridge over Harlem River Replacement,"Replace deteriorated members of lift span superstructure, concrete deck replacement, and replacement of lift electrical and mechanical systems, fenders etc.",Bridges,"Bronx, Manhattan",DOT,,Design,04/01/05,109236000,,,,80897979,08/05/19,,963,
01/01/14 00:00,106,Broadway Bridge over Harlem River Replacement,"This project will replace deteriorated members of lift span superstructure, concrete deck replacement, and replacement of lift electrical and mechanical systems, fenders.",Bridges,"Bronx, Manhattan",DOT,,Design,04/01/05,107027029,,-2208971,,80897979,08/05/19,0,963,
05/01/14 00:00,106,Broadway Bridge over Harlem River Replacement,"This project will replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Bridges,"Bronx, Manhattan",DOT,,Design,04/01/05,110325563,,3298534,,80897979,08/05/19,0,963,
02/01/15 00:00,106,Broadway Bridge over Harlem River Replacement,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Bridges,"Bronx, Manhattan",DOT,,Design,04/01/05,109215563,,-1110000,,80897979,11/13/2020,466,963,
08/01/15 00:00,106,Broadway Bridge over Harlem River Replacement,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Bridges,"Bronx, Manhattan",DOT,,Design,04/01/05,109294563,,79000,,80897979,01/12/21,60,963,
01/01/16 00:00,106,Broadway Bridge over Harlem River Replacement,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Bridges,"Bronx, Manhattan",DOT,,Design,04/01/05,168353563,,59059000,,80897979,11/13/2020,-60,963,
06/01/16 00:00,106,Broadway Bridge over Harlem River Replacement,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Bridges,"Bronx, Manhattan",DOT,,Design,04/01/05,169946545.6,,1592983,,80897979,11/13/2020,0,963,
11/01/16 00:00,106,Broadway Bridge over Harlem River Replacement,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Bridges,"Bronx, Manhattan",DOT,,Design,04/01/05,169681545.6,,-265000,,80897979,11/13/2020,0,963,
04/01/17 00:00,106,Broadway Bridge over Harlem River Replacement,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Bridges,"Bronx, Manhattan",DOT,,Design,04/01/05,168597456.7,,-1084089,,80897979,11/13/2020,0,963,
09/01/17 00:00,106,Broadway Bridge over Harlem River Replacement,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Bridges,"Bronx, Manhattan",DOT,,Design,04/01/05,191951546,,23354089,,80897979,10/17/2021,338,963,
03/01/18 00:00,106,Broadway Bridge over Harlem River Replacement,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Bridges,"Bronx, Manhattan",DOT,,Construction Procurement,04/01/05,200270457,,8318911,,80897979,07/22/2021,-87,963,
08/01/18 00:00,106,Broadway Bridge over Harlem River Replacement,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Bridges,"Bronx, Manhattan",DOT,,Construction,04/01/05,198192458,,-2077999,,80897979,07/19/2021,-3,963,
01/01/19 00:00,106,Broadway Bridge over Harlem River Replacement,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Bridges,"Bronx, Manhattan",DOT,,Construction,04/01/05,189133980,,-9058478,,80897979,07/19/2021,0,963,
05/01/19 00:00,106,Broadway Bridge over Harlem River Replacement,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Bridges,"Bronx, Manhattan",DOT,,Construction,04/01/05,190133979,,999999,,80897979,03/25/2022,249,963,
09/01/19 00:00,106,Broadway Bridge over Harlem River Replacement,,Bridges,"Bronx, Manhattan",DOT,,,,,,,,80897979,,,963,
09/01/13 00:00,108,Rockaway Parkway Bridge Replacement,"The existing bridge was a 4 span structure that was replaced with a single span concrete and steel structure, widened to 109.5 feet from 84 feet, to accommodate 3 travel lanes with shoulders and a median.  Four access ramps were also reconstructed.",Bridges,Brooklyn,DOT,,Construction,06/30/2004,82226413,,,,-267376,10/24/2014,,1894,
01/01/14 00:00,108,Rockaway Parkway Bridge Replacement,This project includes installation of a new single span concrete and steel structure to carry the Belt Parkway and reconstruction of four access ramps .,Bridges,Brooklyn,DOT,,Construction,06/30/2004,85364391,,3137978,,-267376,10/24/2014,0,1894,
05/01/14 00:00,108,Rockaway Parkway Bridge Replacement,This project includes installation of a new single span concrete and steel structure to carry the Belt Parkway and reconstruction of four access ramps .,Bridges,Brooklyn,DOT,,Construction,06/30/2004,98214308,,12849917,,-267376,10/24/2014,0,1894,
02/01/15 00:00,108,Rockaway Parkway Bridge Replacement,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Bridges,Brooklyn,DOT,,Construction,06/30/2004,83593308,,-14621000,,-267376,06/24/2015,243,1894,
08/01/15 00:00,108,Rockaway Parkway Bridge Replacement,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Bridges,Brooklyn,DOT,,Construction,06/30/2004,88528307.77,,4935000,,-267376,12/31/2015,190,1894,
01/01/16 00:00,108,Rockaway Parkway Bridge Replacement,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Bridges,Brooklyn,DOT,,Construction,06/30/2004,86848307.77,,-1680000,,-267376,06/30/2016,182,1894,
06/01/16 00:00,108,Rockaway Parkway Bridge Replacement,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Bridges,Brooklyn,DOT,,Construction,06/30/2004,87197307.77,,349000,,-267376,06/15/2016,-15,1894,
11/01/16 00:00,108,Rockaway Parkway Bridge Replacement,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Bridges,Brooklyn,DOT,,Construction,06/30/2004,86778307.77,,-419000,,-267376,06/30/2017,380,1894,
04/01/17 00:00,108,Rockaway Parkway Bridge Replacement,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Bridges,Brooklyn,DOT,,Construction,06/30/2004,86603307.77,,-175000,,-267376,06/30/2017,0,1894,
09/01/17 00:00,108,Rockaway Parkway Bridge Replacement,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Bridges,Brooklyn,DOT,,Construction,06/30/2004,86528307,,-75001,,-267376,06/30/2018,365,1894,
03/01/18 00:00,108,Rockaway Parkway Bridge Replacement,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Bridges,Brooklyn,DOT,,Construction,06/30/2004,86522770,,-5537,,-267376,12/31/2018,184,1894,
08/01/18 00:00,108,Rockaway Parkway Bridge Replacement,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Bridges,Brooklyn,DOT,,Construction,06/30/2004,86472770,,-50000,,-267376,12/31/2018,0,1894,
01/01/19 00:00,108,Rockaway Parkway Bridge Replacement,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Bridges,Brooklyn,DOT,,Construction,06/30/2004,81864037,,-4608733,,-267376,06/30/2019,181,1894,
05/01/19 00:00,108,Rockaway Parkway Bridge Replacement,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Bridges,Brooklyn,DOT,,Construction,06/30/2004,81959037,,95000,,-267376,12/31/2019,184,1894,
09/01/19 00:00,108,Rockaway Parkway Bridge Replacement,,Bridges,Brooklyn,DOT,,,,,,,,-267376,,,1894,
09/01/13 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),Rehabilitation of Henry Hudson Parkway Viaduct from west 72nd street to west 82nd street.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,08/02/11,37492000,,,,67027250,09/05/17,,1027,
01/01/14 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),This project will rehabilitate the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,08/02/11,39992427,,2500427,,67027250,09/05/17,0,1027,
05/01/14 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),This project will rehabilitate the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,08/02/11,43934930,,3942503,,67027250,02/26/2019,539,1027,
02/01/15 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,08/02/11,69104930,,25170000,,67027250,01/22/2019,-35,1027,
08/01/15 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,08/02/11,68943455.43,,-161475,,67027250,01/22/2019,0,1027,
01/01/16 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,08/02/11,70333455.43,,1390000,,67027250,01/22/2019,0,1027,
06/01/16 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,08/02/11,76470455.43,,6137000,,67027250,04/08/19,76,1027,
11/01/16 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,"Bridges, Streets and Roadways",Manhattan,DOT,,Construction Procurement,08/02/11,79407409.71,,2936954,,67027250,04/19/2019,11,1027,
04/01/17 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,"Bridges, Streets and Roadways",Manhattan,DOT,,Construction Procurement,08/02/11,74154409.71,,-5253000,,67027250,04/28/2019,9,1027,
09/01/17 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,"Bridges, Streets and Roadways",Manhattan,DOT,,Construction Procurement,08/02/11,99210455,,25056045,,67027250,06/17/2022,1146,1027,
03/01/18 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,"Bridges, Streets and Roadways",Manhattan,DOT,,Construction Procurement,08/02/11,102031725,,2821270,,67027250,06/17/2022,0,1027,
08/01/18 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,"Bridges, Streets and Roadways",Manhattan,DOT,,Construction,08/02/11,100394249,,-1637476,,67027250,06/27/2020,-720,1027,
01/01/19 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,"Bridges, Streets and Roadways",Manhattan,DOT,,Construction,08/02/11,105320414.8,,4926166,,67027250,06/28/2020,1,1027,
05/01/19 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,"Bridges, Streets and Roadways",Manhattan,DOT,,Construction,08/02/11,104519250,,-801165,,67027250,06/28/2020,0,1027,
09/01/19 00:00,111,Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),,"Bridges, Streets and Roadways",Manhattan,DOT,,,,,,,,67027250,,,1027,
09/01/13 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Rehabilitation of abutments, piers, approaches, and steel superstructure and replace reinforced concrete deck.","Bridges, Streets and Roadways",Bronx,DOT,,Design,01/17/1995,58259000,,,,24434222,03/22/2019,,906,
01/01/14 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Westchester Avenue Bridge over Hutch River Parkway Rehabilitation. Rehabilitation of abutments, piers, approaches, and steel superstructure and replace reinforced concrete deck.","Bridges, Streets and Roadways",Bronx,DOT,,Design,01/17/1995,62914686,,4655686,,24434222,07/06/19,106,906,
05/01/14 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Rehabilitation of abutments, piers, approaches, and steel superstructure and replacement of reinforced concrete deck.","Bridges, Streets and Roadways",Bronx,DOT,,Design,01/17/1995,62500136,,-414550,,24434222,05/01/20,300,906,
02/01/15 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Repair abutments, piers, approaches, and the steel superstructure. Replace reinforced concrete deck.","Bridges, Streets and Roadways",Bronx,DOT,,Design,01/17/1995,62601664,,101528,,24434222,07/01/19,-305,906,
08/01/15 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Repair abutments, piers, approaches, and the steel superstructure. Replace reinforced concrete deck.","Bridges, Streets and Roadways",Bronx,DOT,,Design,01/17/1995,63911397.37,,1309733,,24434222,05/01/20,305,906,
01/01/16 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Repair abutments, piers, approaches, and the steel superstructure. Replace reinforced concrete deck.","Bridges, Streets and Roadways",Bronx,DOT,,Design,01/17/1995,63857397.37,,-54000,,24434222,05/01/20,0,906,
06/01/16 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Repair abutments, piers, approaches, and the steel superstructure. Replace reinforced concrete deck.","Bridges, Streets and Roadways",Bronx,DOT,,Design,01/17/1995,65745169,,1887772,,24434222,11/01/20,184,906,
11/01/16 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Repair abutments, piers, approaches, and the steel superstructure; replace reinforced concrete deck.","Bridges, Streets and Roadways",Bronx,DOT,,Construction,01/17/1995,123782169,,58037000,,24434222,09/13/2021,316,906,
04/01/17 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.","Bridges, Streets and Roadways",Bronx,DOT,,Construction,01/17/1995,80133352.29,,-43648817,,24434222,09/13/2021,0,906,
09/01/17 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.","Bridges, Streets and Roadways",Bronx,DOT,,Construction,01/17/1995,78620169,,-1513183,,24434222,09/13/2021,0,906,
03/01/18 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.","Bridges, Streets and Roadways",Bronx,DOT,,Construction,01/17/1995,80310944,,1690775,,24434222,09/13/2021,0,906,
08/01/18 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.","Bridges, Streets and Roadways",Bronx,DOT,,Construction,01/17/1995,86866222,,6555278,,24434222,09/13/2021,0,906,
01/01/19 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.","Bridges, Streets and Roadways",Bronx,DOT,,Construction,01/17/1995,80943222,,-5923000,,24434222,09/13/2021,0,906,
05/01/19 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.","Bridges, Streets and Roadways",Bronx,DOT,,Construction,01/17/1995,82693222,,1750000,,24434222,09/13/2021,0,906,
09/01/19 00:00,112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,,"Bridges, Streets and Roadways",Bronx,DOT,,,,,,,,24434222,,,906,
02/01/15 00:00,113,Riverside Drive/West 158th Street Bridge Rehabilitation,Deck replacement of the Riverside Drive Viaduct / Bridge over W. 158th Street.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,10/22/2014,61507424,,6801424,,105539510,12/17/2021,901,1093,
08/01/15 00:00,113,Riverside Drive/West 158th Street Bridge Rehabilitation,Deck replacement of the Riverside Drive Viaduct / Bridge over W. 158th Street.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,10/22/2014,64057424.18,,2550000,,105539510,12/17/2021,0,1093,
01/01/16 00:00,113,Riverside Drive/West 158th Street Bridge Rehabilitation,Deck replacement of the Riverside Drive Viaduct / Bridge over W. 158th Street.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,10/22/2014,83857407.18,,19799983,,105539510,07/13/2020,-522,1093,
06/01/16 00:00,113,Riverside Drive/West 158th Street Bridge Rehabilitation,Deck replacement of the Riverside Drive Viaduct / Bridge over W. 158th Street.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,10/22/2014,84072407.18,,215000,,105539510,12/17/2021,522,1093,
11/01/16 00:00,113,Riverside Drive/West 158th Street Bridge Rehabilitation,Deck replacement of the Riverside Drive Viaduct / Bridge over W. 158th Street.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,10/22/2014,85356602.68,,1284196,,105539510,12/17/2021,0,1093,
04/01/17 00:00,113,Riverside Drive/West 158th Street Bridge Rehabilitation,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,10/22/2014,145663602.7,,60307000,,105539510,12/17/2021,0,1093,
09/01/17 00:00,113,Riverside Drive/West 158th Street Bridge Rehabilitation,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,10/22/2014,162834407,,17170804,,105539510,12/02/21,-15,1093,
03/01/18 00:00,113,Riverside Drive/West 158th Street Bridge Rehabilitation,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,"Bridges, Streets and Roadways",Manhattan,DOT,,Design,10/22/2014,159357469,,-3476938,,105539510,12/16/2021,14,1093,
08/01/18 00:00,113,Riverside Drive/West 158th Street Bridge Rehabilitation,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,"Bridges, Streets and Roadways",Manhattan,DOT,,Construction Procurement,10/22/2014,251414563,,92057094,,105539510,01/17/2022,32,1093,
01/01/19 00:00,113,Riverside Drive/West 158th Street Bridge Rehabilitation,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,"Bridges, Streets and Roadways",Manhattan,DOT,,Construction,10/22/2014,127568850.2,,-123845713,,105539510,06/27/2022,161,1093,
05/01/19 00:00,113,Riverside Drive/West 158th Street Bridge Rehabilitation,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,"Bridges, Streets and Roadways",Manhattan,DOT,,Construction,10/22/2014,160245510,,32676660,,105539510,06/27/2022,0,1093,
09/01/19 00:00,113,Riverside Drive/West 158th Street Bridge Rehabilitation,,"Bridges, Streets and Roadways",Manhattan,DOT,,,,,,,,105539510,,,1093,
01/01/16 00:00,114,Madison Avenue Bridge Reconstruction,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Bridges,"Manhattan, Bronx",DOT,,Design,02/14/2011,53092095.93,,-1417209,,508294,07/03/19,320,1335,
06/01/16 00:00,114,Madison Avenue Bridge Reconstruction,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Bridges,"Manhattan, Bronx",DOT,,Design,02/14/2011,52342089.93,,-750006,,508294,07/03/19,0,1335,
11/01/16 00:00,114,Madison Avenue Bridge Reconstruction,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Bridges,"Manhattan, Bronx",DOT,,Design,02/14/2011,53044089.93,,702000,,508294,07/03/19,0,1335,
04/01/17 00:00,114,Madison Avenue Bridge Reconstruction,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Bridges,"Manhattan, Bronx",DOT,,Design,02/14/2011,55163089.93,,2119000,,508294,07/03/19,0,1335,
09/01/17 00:00,114,Madison Avenue Bridge Reconstruction,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Bridges,"Manhattan, Bronx",DOT,,Design,02/14/2011,44694090,,-10469000,,508294,08/18/2020,412,1335,
03/01/18 00:00,114,Madison Avenue Bridge Reconstruction,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Bridges,"Manhattan, Bronx",DOT,,Construction Procurement,02/14/2011,44742221,,48131,,508294,07/11/20,-38,1335,
08/01/18 00:00,114,Madison Avenue Bridge Reconstruction,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Bridges,"Manhattan, Bronx",DOT,,Construction,02/14/2011,76589599,,31847378,,508294,03/14/2022,611,1335,
01/01/19 00:00,114,Madison Avenue Bridge Reconstruction,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Bridges,"Manhattan, Bronx",DOT,,Construction,02/14/2011,54167599,,-22422000,,508294,03/14/2022,0,1335,
05/01/19 00:00,114,Madison Avenue Bridge Reconstruction,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Bridges,"Manhattan, Bronx",DOT,,Construction,02/14/2011,55017599,,850000,,508294,04/13/2022,30,1335,
09/01/19 00:00,114,Madison Avenue Bridge Reconstruction,,Bridges,"Manhattan, Bronx",DOT,,,,,,,,508294,,,1335,
09/01/13 00:00,116,Macombs Dam Bridge Rehabilitation,Rehabilitation of fender system and repair/replacement of the superstructure and bridge deck of the 155th Street Viaduct.,Bridges,"Manhattan, Bronx",DOT,,Design,02/08/11,54312146,,,,19197137,03/23/2018,,677,
01/01/14 00:00,116,Macombs Dam Bridge Rehabilitation,This project will rehabilitate the fender system and adjoining 155th St viaduct.,Bridges,"Manhattan, Bronx",DOT,,Design,02/08/11,52066411,,-2245735,,19197137,03/23/2018,0,677,
05/01/14 00:00,116,Macombs Dam Bridge Rehabilitation,This project will rehabilitate the fender system and adjoining 155th St viaduct.,Bridges,"Manhattan, Bronx",DOT,,Design,02/08/11,53766697,,1700286,,19197137,03/23/2018,0,677,
02/01/15 00:00,116,Macombs Dam Bridge Rehabilitation,Repair the fender system and adjoining 155th Street viaduct.,Bridges,"Manhattan, Bronx",DOT,,Construction Procurement,02/08/11,60055958,,6289261,,19197137,12/16/2017,-97,677,
08/01/15 00:00,116,Macombs Dam Bridge Rehabilitation,Repair the fender system and adjoining 155th Street viaduct.,Bridges,"Manhattan, Bronx",DOT,,Construction,02/08/11,106854161.8,,46798204,,19197137,12/09/17,-7,677,
01/01/16 00:00,116,Macombs Dam Bridge Rehabilitation,Repair the fender system and adjoining 155th Street viaduct.,Bridges,"Manhattan, Bronx",DOT,,Construction,02/08/11,65743222.84,,-41110939,,19197137,12/09/17,0,677,
06/01/16 00:00,116,Macombs Dam Bridge Rehabilitation,Repair the fender system and adjoining 155th Street viaduct.,Bridges,"Manhattan, Bronx",DOT,,Construction,02/08/11,62097222.84,,-3646000,,19197137,12/09/17,0,677,
11/01/16 00:00,116,Macombs Dam Bridge Rehabilitation,Repair the fender system and adjoining 155th Street viaduct.,Bridges,"Manhattan, Bronx",DOT,,Construction,02/08/11,65149222.84,,3052000,,19197137,12/09/17,0,677,
04/01/17 00:00,116,Macombs Dam Bridge Rehabilitation,Repair the fender system and adjoining 155th Street viaduct.,Bridges,"Manhattan, Bronx",DOT,,Construction,02/08/11,64926485.63,,-222737,,19197137,12/09/17,0,677,
09/01/17 00:00,116,Macombs Dam Bridge Rehabilitation,Repair the fender system and adjoining 155th Street viaduct.,Bridges,"Manhattan, Bronx",DOT,,Construction,02/08/11,65164223,,237737,,19197137,12/09/17,0,677,
03/01/18 00:00,116,Macombs Dam Bridge Rehabilitation,Repair the fender system and adjoining 155th Street viaduct.,Bridges,"Manhattan, Bronx",DOT,,Construction,02/08/11,67998396,,2834173,,19197137,06/29/2020,933,677,
08/01/18 00:00,116,Macombs Dam Bridge Rehabilitation,Repair the fender system and adjoining 155th Street viaduct.,Bridges,"Manhattan, Bronx",DOT,,Construction,02/08/11,74071396,,6073000,,19197137,07/23/2019,-342,677,
01/01/19 00:00,116,Macombs Dam Bridge Rehabilitation,Repair the fender system and adjoining 155th Street viaduct.,Bridges,"Manhattan, Bronx",DOT,,Construction,02/08/11,74445283,,373887,,19197137,07/23/2019,0,677,
05/01/19 00:00,116,Macombs Dam Bridge Rehabilitation,Repair the fender system and adjoining 155th Street viaduct.,Bridges,"Manhattan, Bronx",DOT,,Construction,02/08/11,73509283,,-936000,,19197137,01/29/2020,190,677,
