Date Reported As Of,PID,Project Name,Description,Category,Borough,Managing Agency,Client Agency,Current Phase,Design Start,Budget Forecast,,Latest Budget Changes,,Total Budget Changes,Forecast Completion,Latest Schedule Changes,Total Schedule Changes,
01/01/19 00:00,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,09/23/2013," 18,50,99,719 "," 80,25,707 "," 80,25,707 ",,-4318643.37,08/28/2020,31,270,
05/01/19 00:00,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,09/23/2013," 18,52,42,697 "," 1,42,978 "," 1,42,978 ",,-4318643.37,10/09/20,42,270,
09/01/19 00:00,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,09/23/2013," 18,05,77,717 "," (46,64,980)"," (46,64,980)",,-4318643.37,10/09/20,0,270,
09/01/13 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Design,05/01/13,53493000,,,,15305457,03/31/2018,,685,
01/01/14 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Design,05/01/13,58018000,,4525000,,15305457,03/31/2018,0,685,
05/01/14 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Design,05/01/13,53726722,,-4291278,,15305457,03/31/2018,0,685,
02/01/15 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction Procurement,05/01/13,52668403,,-1058319,,15305457,04/01/18,1,685,
08/01/15 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction Procurement,05/01/13,63980485,,11312082,,15305457,01/28/2018,-63,685,
01/01/16 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/13,63111785.3,,-868700,,15305457,02/28/2019,396,685,
06/01/16 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/13,62301672.08,,-810113,,15305457,09/08/17,-538,685,
11/01/16 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/13,63165211.75,,863540,,15305457,09/14/2017,6,685,
04/01/17 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/13,63438805.99,,273594,,15305457,11/10/17,57,685,
09/01/17 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/13,66806758.61,,3367953,,15305457,07/19/2018,251,685,
03/01/18 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/13,66557303.91,,-249455,,15305457,02/18/2019,214,685,
08/01/18 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/13,67106080.25,,548776,,15305457,08/27/2019,190,685,
01/01/19 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/13,62463080.08,,-4643000,,15305457,10/16/2019,50,685,
05/01/19 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/13,67732573.24,,5269493,,15305457,11/18/2019,33,685,
09/01/19 00:00,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/13,68798457,,1065884,,15305457,02/14/2020,88,685,
09/01/13 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,66616435,,,,1255175.02,05/31/2017,,1014,
01/01/14 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,69860833,,3244398,,1255175.02,05/10/17,-21,1014,
05/01/14 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,63554849.18,,-6305984,,1255175.02,05/10/17,0,1014,
02/01/15 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,65184476.18,,1629627,,1255175.02,05/10/17,0,1014,
